Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Description & Remarks.,Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Balmaha,BMA,D,Pier Lake End,49,56 05.020N 004 32.922W,,"E side of Loch Lomond, by B 837",10,NE,Greenock,24150 69080,BMA,BMA
Brayford,BMC,C,Church,487,51 05.825N 003 52.595W,,Church in Centre of Village. North side of Village Street.,28,NW,Exeter,26870 13476,BMC,BMC
Brynamman,BMM,B,A4069 bridge,472,51 48.506N 003 52.118W,,Bridge over river Amman on S side of town,10,N,Swansea,27127 21385,BMM,BMM
Braemar East,BMR,A,A93/River Bridge,1050,57 00.199N 003 20.582W,,"Over River Dee, 2 NMl E of town",40,W,Aberdeen,31852 79104,BMR,BMR
Barmouth Station,BMS,A,Rail Station,26,52 43.332N 004 03.392W,,400m NW of harbour,46,W,Shrewsbury,26120 31582,BMS,BMS
Bingham,BNG,A,A46/A52,197,52 56.947N 000 58.980W,,"Roundabout W of village, S of Newton disused airfield",19,NNE,Leicester,46843 33957,BNG,BNG
Brinkworth,BNK,B,Rail bridge,280,51 33.406N 001 58.953W,,"Minor road over rail, S side of village 4NMl NNE of Lyneham a/f",7,W,Swindon,40131 18421,BNK,BNK
Ben Nevis,BNV,A,Trig Point,4406,56 47.814N 005 00.216W,,"Cairn at top of highest point in the UK, 4406 ft spot height on air map. Caution, rugged terrain to S and E",4,SW,Fort William,21667 77129,BNV,BNV
Bicester North West,BNW,A,M40 J 10/ B 430,413,51 56.907N 001 12.316W,,"M40 bridge between 2 roundabouts, NE side of Ardley village.  3 NMl NNW of Bicester town.",8,SSE,Banbury,45472 22807,BNW,BNW
Booker SW,BO1,D#,Hambledon Church Tower,164,51 34.381N 000 52.208W,,"Centre of small village N of R Thames, 3NMl SW of Booker Airfield, used as a control point for final glides into Booker to avoid power circuit. LTMA base 2500ft.",15,SE,Oxford,47840 18662,BO1,BO1
Turville Windmill,BO4,D#,Windmill,502,51 36.992N 000 53.388W,,"On hill N of Turville village 3 NMl W of Booker airfield, used as control point for final glides into Booker",14,ESE,Oxford,47696 19144,BO4,BO4
Rockwell End,BO5,D##,Y junction,450,51 35.190N 000 51.186W,,2 km S of Frieth Village.  Used by Booker to avoid the Power Circuit.  Avoid LTMA overhead at 2500ft,16,SE,Oxford,47956 18813,BO5,BO5
Bridge of Avon,BOA,A,A95 br.over River,591,57 24.336N 003 21.674W,,"Over River Avon, Between Dufftown & Grantown-on-Spey",19,S,Lossiemouth,31831 83584,BOA,BOA
Booker M40 Bridge,BOB,D#,Small bridge over M40,361,51 37.622N 000 51.555W,,"Bridge to Kensham Farm, E side of Cadmore End village, 2NMl NW of airfield, used as a start point, TMA at 4500ft, LTMA 2500 to E.",15,ESE,Oxford,47906 19264,BOB,BOB
Bridge of Cally,BOC,A,A93/River Br,508,56 38.806N 003 24.204W,,"Over R. Ardle just S of A93/A924 T junct, 4 NW of Blairgowrie",15,N,Perth,31404 75143,BOC,BOC
Bodiam,BOD,C,Centre of Castle,184,51 00.098N 000 32.594E,,Moated castle 3 NMl SSE of Hawkhurst,8,N,Hastings,57854 12555,BOD,BOD
Bridge of Gaur,BOG,C,River/Road Bridge,656,56 40.688N 004 26.909W,,"W end of Loch Rannoch, S of B846, N of Village",23,ESE,Fort William,25009 75672,BOG,BOG
Bootle,BOL,A,Bridge,66,54 16.710N 003 22.279W,,"A595 Bridge over river Annas S side of village, 5 NMl S of Ravenglass",23,NW,Lancaster,31081 48785,BOL,BOL
Bodmin SW,BOM,A#,A30/A389,466,50 26.023N 004 46.498W,,"Roundabout at Innis Downs/Lanivet, 3 NMl SW of Bodmin.  Note westerly approach to St Mawgan 4 NMl to the SW",24,W,Plymouth,20303 06300,BOM,BOM
Boncath,BON,A#,A478/B4332,663,52 00.931N 004 38.133W,,Crossroads 1 NMl W of Boncath village between Cardigan and Crymych.  Avoid Aberporth danger area when active,34,NW,Swansea,21924 23851,BON,BON
Booker Airfield,BOO,D##,SW Corner/B482,520,51 36.512N 000 48.931W,126.555,"Commercial airfield, much light aircraft traffic, site of Booker GC.  LTMA overhead at 2500ft.  Not recommended for use as a Turning Point.",17,ESE,Oxford,48212 19063,BOO,BOO
Boroughbridge,BOR,A,A6055 Br. over A1,108,54 05.123N 001 23.989W,,"S side of town, 4 NMl S of Dishforth airfield",14,NW,York,43936 46566,BOR,BOR
Boston,BOS,A,A52 Br. over dyke,92,52 58.317N 000 03.531W,,"SW edge of town, 1 NMl E of Boston Airfield",24,SE,Lincoln,53045 34338,BOS,BOS
Bottesford,BOT,C,Church Spire,154,52 56.606N 000 48.014W,,Centre of village,7,W,Grantham,48072 33912,BOT,BOT
Bourne,BOU,C,A15/A151,154,52 46.083N 000 22.637W,,Town Centre,12,NNW,Peterborough,50958 32017,BOU,BOU
Bovey Tracey,BOV,C,Reservoir Dam,771,50 37.698N 003 41.372W,,"SW end of dam wall of Trenchford Reservoir, most S of 3 dams 2 NMl N of Bovey Tracey village.",8,SW,Exeter,28060 08232,BOV,BOV
Bourton-on-the-water,BOW,C,A429/River Bridge,194,51 53.203N 001 46.110W,,Bridge over River Windrush just W of village.,12,E,Cheltenham,41603 22093,BOW,BOW
Bozeat,BOZ,B,Road Br over A 509,154,52 13.313N 000 41.035W,,"W side of village, A509 runs N/S, bridge is E/W",7,E,Northampton,49000 25900,BOZ,BOZ
Bridport,BPT,B,A35/A3066,15,50 43.974N 002 45.020W,,Roundabout E side of town centre just E of bridge over R Asker,28,E,Exeter,34714 09286,BPT,BPT
Bognor Regis Gliding Club,BR1,B#,Runway centre,10,50 48.061N 000 39.564W,129.98,"Runway 20, NNE side of Bognor, between railway line E and golf course W",15,E,Portsmouth,49457 10102,BR1,BR1
Bognor Domes,BR2,C,Domes,40,50 47.106N 000 39.782W,,At Butlins Holiday Camp S side of town near sea front,14,E,Portsmouth,49434 09924,BR2,BR2
Brackley South,BRC,A#!,A43/A422 r'bout,322,52 01.270N 001 08.959W,,"S side of town, used as start point by Banbury G.C.  High radiation to the SW (Croughton), parachuting at Hinton to the West",8,ESE,Banbury,45847 23620,BRC,BRC
Bradbury,BRD,A,A1(M)/A689,262,54 39.146N 001 30.734W,,NW edge of village 2 NMl W of Sedgefield,8,N,Darlington,43157 52870,BRD,BRD
Brecon,BRE,A,A40/A470 R'bout,653,51 56.468N 003 21.522W,,Roundabout N of two bridges over river.,25,WSW,Hereford,30670 22783,BRE,BRE
Bradford-on-avon,BRF,C,Stn Road Br E,98,51 20.680N 002 15.125W,,E end of Station where B3109 crosses railway. S side of town.,5,ESE,Bath,38254 16065,BRF,BRF
Brenig,BRG,B,Reservoir Tower,1245,53 04.540N 003 31.763W,,"Tower in water S side of lake, E side of dam wall. 15 NMl S of Rhyl. For big triangles into N Wales. Caution - rugged terrain",24,WSW,Chester,29764 35425,BRG,BRG
Brough,BRH,B#,A66/A685,545,54 31.485N 002 19.113W,,"Flyover at River Swindale, S end of Crossfell ridge 3NMl N of Kirkby Stephen. D407 to NW",30,SE,Carlisle,37948 51443,BRH,BRH
Bridgnorth,BRI,A,River/A458 Bridge,200,52 31.660N 002 25.044W,,"Southern of two bridges over River Severn, S side of town.",15,SE,Shrewsbury,37178 29228,BRI,BRI
Broad Oak,BRK,C,A28/B2089,154,50 56.928N 000 35.881E,,Village centre,5,N,Hastings,58259 11981,BRK,BRK
Brill,BRL,A,Church Tower,625,51 49.129N 001 02.982W,,"S side of centre of village on hill top, 6 NMl SE of Bicester",8,ENE,Oxford,46560 21378,BRL,BRL
Bromsgrove,BRM,C,Station Bridge NE,144,52 19.362N 002 02.779W,,Road bridge NE end of stn.  SE edge of Town.,10,NE,Worcester,39694 26940,BRM,BRM
Burn,BRN,C#,Runways 33/19,20,53 44.624N 001 05.031W,129.98,Burn GC site,12,S,York,46052 42787,BRN,BRN
Broadway,BRO,C,A44/B4632 East,161,52 02.182N 001 51.356W,,East of 2 T junctions where Stratford road leaves A44.,11,NE,Cheltenham,40998 23756,BRO,BRO
Brampton,BRP,A#!,Rail/A689,486,54 56.253N 002 41.737W,,1 NMl ESE of town at Milton village,9,ENE,Carlisle,35553 56054,BRP,BRP
Brora,BRR,A#,A9 over river,15,58 00.707N 003 51.202W,,Over R Brora. D703 to east,34,NNE,Inverness,29059 90401,BRR,BRR
Braemar Stadium,BRS,B,Entrance to Stadium,1116,57 00.298N 003 24.360W,,NE side of Stadium 400 m WSW of Church Spireand bridge over Callater Water,42,W,Aberdeen,31470 79130,BRS,BRS
Brent Tor,BRT,D#,Gliding Site Hangar,820,50 35.531N 004 09.100W,130.105,"Dartmoor Gliding Society site, 3 NMl N of Tavistock.",12,N,Plymouth,24780 07915,BRT,BRT
Bruton,BRU,B,Station/B3081 Bridge,194,51 06.643N 002 26.996W,,SW side of station which is on E side of town.,12,NE,Yeovil,36860 13470,BRU,BRU
Barrow,BRW,C#,R/Ws 35/23,47,54 07.444N 003 15.977W,129.98,"Lakes GC site, also light aircraft traffic",15,WNW,Lancaster,31734 47054,BRW,BRW
Bromyard,BRY,C,Church Tower,230,52 11.460N 002 30.340W,,NE Side of town.,10,W,Worcester,36553 25487,BRY,BRY
Brenzett,BRZ,A,A259/A2070/B2080 roundabout,12,51 00.424N 000 51.493E,,Brenzett Roundabout to South of Village (not smaller roundabout to North). Lydd ATZ to SE.,18,SSW,Canterbury,60061 12696,BRZ,BRZ
Bury St Edmunds S,BS1,D,Large building,115,52 13.884N 000 42.541E,,N of wood on S side of town,20,E,Cambridge,58510 26270,BS1,BS1
Bury St Edmunds N,BS2,A,A134/B1106,108,52 16.728N 000 42.979E,,Roundabout N side of town,20,E,Cambridge,58540 26799,BS2,BS2
Bury St Edmunds,BSE,A,Rail Br/A14,187,52 15.195N 000 43.254E,,"Br where Ipswich line passes over A14, NE side of town.",20,E,Cambridge,58582 26516,BSE,BSE
Basingstoke N,BSN,C,Bramley rail stn,195,51 19.769N 001 03.659W,,3 NMl N of Basingstoke,8,N,Lasham,46552 15935,BSN,BSN
Bunessan Pier,BSS,C,Sea end of pier,10,56 19.163N 006 14.902W,,West side of village on SW side of Isle of Mull.  Look out for ADR traffic bet Glasgow & Tiree,26,WSW,Oban,13741 72222,BSS,BSS
Brecon SW,BSW,A,A470/A4215 T junction,780,51 54.750N 003 28.431W,,"4 Nml SW of Brecon just S of Libanus village, ridge to SE",26,WSW,Hereford,29872 22480,BSW,BSW
Bassenthwaite E,BT2,D,A591 T junction,424,54 39.900N 003 11.282W,,"E side of lake on west facing ridge at High Side.  Caution, rugged terrain",16,SSW,Carlisle,32347 53064,BT2,BT2
Bassenthwaite Lake NW,BTH,A,A66/B5291,265,54 40.094N 003 14.692W,,"T junction N end of lake between Keswick and Cockermouth.  Caution, rugged terrain to S and E",17,SW,Carlisle,31981 53106,BTH,BTH
Battle,BTL,B,A2100 Br over Rail,167,50 54.772N 000 29.580E,,"Just S of Station, SE side of town",5,N,Hastings,57535 11556,BTL,BTL
Bridlington,BTN,B#!,Bridge,33,54 04.982N 000 12.359W,,A165 over rail S side of town between 2 roundabouts E of dual carriageway.  Avoid parachuting area to N,32,ENE,York,51746 46672,BTN,BTN
Ballater,BTR,A,River / Road Bridge,656,57 02.821N 003 02.183W,,"River Dee bridge SE of town, road joins town to B976",30,WSW,Aberdeen,33722 79558,BTR,BTR
Buttermere,BTT,B,Bridge,410,54 32.460N 003 16.601W,,"B5289 over Sail Beck in Buttermere village, between Buttermere Lake and Crummck Water, 6 NMl SW of Keswick.  Caution, rugged terrain",23,SW,Carlisle,31750 51694,BTT,BTT
Burbage,BUB,A,A338/A346,509,51 20.668N 001 40.193W,,"S edge of village, 4NMl E of Pewsey",13,WSW,Newbury,42309 16065,BUB,BUB
Buckingham,BUC,C,Church Spire,420,51 59.888N 000 59.337W,,In Town Centre.,13,E,Banbury,46951 23378,BUC,BUC
Bude,BUD,A,Canal Bridge,30,50 49.625N 004 32.829W,,"Bridge over Bude Canal W side of town, 300m W of bridge over river Neet",30,NNW,Plymouth,22071 10615,BUD,BUD
Burley Gate,BUG,A,A417/A465,259,52 07.254N 002 35.761W,,Roundabout SW side of village,5,NE,Hereford,35929 24712,BUG,BUG
Burnhope Reservoir,BUH,A,Dam wall S end,1312,54 44.610N 002 14.276W,,Building on S end of dam wall. 8 NMl W of Stanhope.  No fields,26,NW,Darlington,38478 53875,BUH,BUH
Builth Wells,BUI,A,A470/River Bridge,410,52 09.024N 003 24.069W,,"Br over River Wye, just S of Roundabout, N side of town",25,WNW,Hereford,30423 25116,BUI,BUI
Buckfastleigh,BUK,A,A38/A384,171,50 29.253N 003 46.128W,,"Bridge over A38 E side of town, 17 NMl SW Exeter",15,NE,Plymouth,27462 06680,BUK,BUK
Bullington,BUL,A,A303 br over A34,249,51 10.506N 001 20.336W,,"Large road junction complex, 11 NMl W of Lasham.",11,WSW,Lasham,44631 14197,BUL,BUL
Bungay,BUN,A,A143/B1332,118,52 27.832N 001 26.509E,,Roundabout 1 NMl N of village,12,SSE,Norwich,63390 29067,BUN,BUN
Burton upon Stather,BUS,B#,T-junction,197,53 38.972N 000 41.089W,,"B1430 T-junction in middle of village E of River Trent 1 NMl N of Flixborough, 4 NMl NNW of Scunthorpe.  Note CTA 2 NMl to the SW",6,E,York,48703 41781,BUS,BUS
Butser Hill,BUT,C,150 ft Mast,886,50 58.633N 000 58.916W,,On 886 ft Spot Height 3 NMl SW of Petersfield.,13,S,Lasham,47157 12025,BUT,BUT
Buxton,BUX,B#,Bridge,820,53 15.569N 001 54.438W,,Tall rail bridge over A6/A53 between 2 roundabouts E side of town. 1.5 NMl E of TMA base 3500ft,23,NW,Derby,40628 37361,BUX,BUX
Beauly,BUY,A,Rail Br over River,33,57 28.563N 004 27.748W,,"Over River Beauly, S side of village",7,W,Inverness,25244 84554,BUY,BUY
Belvoir,BVR,B,Bridge over Castle Lake,138,52 53.247N 000 46.038W,,"1 NMl SE of Belvoir Castle, SW side of Woolsthorpe Village.",5,W,Grantham,48304 33293,BVR,BVR
Bovington,BVT,D#,Club Hangar,205,50 42.732N 002 13.297W,129.98,"N side of grass A/F site of Dorset GC, NE of Bovington Camp  and P047 danger area. Site also known as Eyres Field or Gallows Hill",26,SW,Salisbury,38445 09031,BVT,BVT
Bridgwater E,BWE,A,M5/A372,20,51 07.433N 002 58.236W,,Bridge over M5 on E side of town,28,SW,Bath,33217 13651,BWE,BWE
Bwlch,BWL,C,A490/A495,187,52 44.337N 003 12.284W,,W of 2 T junctions where A490 goes towards Welshpool,17,W,Shrewsbury,31876 31638,BWL,BWL
Blyth,BYT,A,A1 Bridge over A634,57,53 22.525N 001 03.224W,,"E side of town, 13 NMl E of Sheffield",9,S,Doncaster,46305 38692,BYT,BYT
Candover Church,CAC,C,Church Spire,518,51 10.193N 001 08.008W,,"Preston Candover village, bet Basingstoke and Alresford.",4,WSW,Lasham,46068 14154,CAC,CAC
Callander,CAD,A,A81/River Bridge,36,56 14.576N 004 13.045W,,Bridge over river Teith S of town,11,NW,Stirling,26268 70781,CAD,CAD
Canterbury East,CAE,C,Bekesbourne Station,279,51 15.694N 001 08.168E,,Bekesbourne Station,2.5,ESE,Canterbury,61890 15605,CAE,CAE
Castle Howard,CAH,C,"House, central dome",148,54 07.292N 000 54.305W,,"S of lake, 4 NMl WSW of Malton",11,NNE,York,47166 47007,CAH,CAH
Cairnwell,CAI,C,Hill Top,3061,56 52.784N 003 25.259W,,"Just W of A93, 7 NMl S of Braemar near top of ski lifts.  Caution - rugged terrain",46,WSW,Aberdeen,31350 77738,CAI,CAI
Calvert Rail Junction,CAL,C,Bridge W side of Rail Junction,279,51 55.471N 001 00.693W,,"Road br. over rly W side of triangle rail junction, 5 E of Bicester.",13,NE,Oxford,46807 22557,CAL,CAL
Cannock,CAN,A,M6 J12/A5,266,52 41.341N 002 06.211W,,"3.5 NMl W of town, 15 NMl NW of Birmingham.",22,E,Shrewsbury,39310 31015,CAN,CAN
Canonbie,CAO,B,River Bridge/B6357,230,55 04.794N 002 56.932W,,Br over R Esk E side of town,10,N,Carlisle,33952 57657,CAO,CAO
Carlton Moor,CAR,D,Old hangar,1200,54 24.488N 001 12.115W,,"9 Nm S of Middlesborough, ex Carlton Moor Gliding Site",27,N,York,45190 50170,CAR,CAR
Cambridge South,CAS,A#!,Rail Fork,95,52 09.395N 000 08.118E,,Y shaped rail junction N side of Great Shelford village. Look out for Cambridge Airport traffic.,3,S,Cambridge,54617 25307,CAS,CAS
Canterbury,CAT,B,Cathedral Main Twr,282,51 16.788N 001 04.973E,,"Town centre S of river, 0.5 NMl SE of station",0,N/A,Canterbury,61510 15792,CAT,CAT
Caxton Gibbet,CAX,A,A45/A1198 R'bout,220,52 13.719N 000 06.215W,,N of Caxton village.,10,W,Cambridge,52962 26063,CAX,CAX
Carter Bar,CBA,A,A68/A6088,1310,55 21.346N 002 29.062W,,"T junction at top of hill. Caution, rugged terrain, nearest landing fields 10 NMl to N and NW",29,SW,Berwick,36939 60697,CBA,CBA
Conisbrough Castle,CBC,B,Castle keep,98,53 29.064N 001 13.545W,,E side of town between Doncaster and Sheffield under CTA base 4000ft,6,WSW,Doncaster,45148 39891,CBC,CBC
Creagan Bridge,CBG,A,Bridge,40,56 32.839N 005 17.473W,,A828 Bridge over NE end of Loch Creran,10,NE,Oban,19778 74433,CBG,CBG
Carisbrooke Castle,CBK,C,Tower,262,50 41.272N 001 18.774W,,"NE side of castle site on SW side of Newport, Isle of Wight",12,SW,Portsmouth,44863 08780,CBK,CBK
Chilbolton,CBN,B,Radio Telescope Dish,292,51 08.702N 001 26.289W,,"On disused airfield, E side of old N/S runway.",15,WSW,Lasham,43940 13857,CBN,CBN
Carrbridge,CBR,A,Spey Bridge,876,57 17.027N 003 48.966W,,"B9253 Bridge over river Spey at centre of village N of Aviemore, near T junction with A938",17,SE,Inverness,29062 82292,CBR,CBR
Catacol Bridge,CCB,C,A841 (C147) River Bridge,10,55 41.350N 005 19.600W,,A841 (C147) Bridge near Catacol Bay. South of Catacol Village.,37,W,Glasgow,19100 64898,CCB,CCB
Carreg Cennen Castle,CCC,D,Centre of Ruined Castle,725,51 51.263N 003 56.118W,,"On hill 2.5 NMl SE of Llandeilo, W end of Black Mountains ridge",13,N,Swansea,26681 21908,CCC,CCC
Castle Combe,CCH,D,Church Tower,272,51 29.603N 002 13.785W,,Church Tower in Castle Combe Village West of Racetrack.,8,NE,Bath,38415 17719,CCH,CCH
Castle Carrock Dam NW,CCK,A,W side of dam wall north end of water,540,54 53.250N 002 42.743W,,"N end of Crossfell ridge 3.5 NMl S of Brampton, S of Castle Carrock village",8,E,Carlisle,35440 55498,CCK,CCK
Crickhowell,CCL,A,Bridge,226,51 51.383N 003 08.512W,,A4027 bridge over River Usk SW side of town 5 NMl W of Abergavenny,19,SW,Hereford,32146 21815,CCL,CCL
Clay Cross Reservoir,CCR,A,B6014 E end Reservoir Causeway,243,53 08.624N 001 26.871W,,E side of 150 m long causeway over water at NW tip of lake.  2 NMl SW of village,15,N,Derby,43703 36087,CCR,CCR
Cadbury Cross,CCX,D,A3072 crossroads,617,50 50.211N 003 33.154W,,With minor road N side of Cadbury Village just W of 830ft spot height,7,NNW,Exeter,29077 10530,CCX,CCX
Cromdale Spey Bridge,CDB,B,Spey Bridge,581,57 20.483N 003 33.215W,,"At Cromdale, 2NMl ENE of Grantown on Spey",22,ESE,Inverness,30659 82894,CDB,CDB
Cader Idris,CDI,A,Spot Height 2930ft,2930,52 41.973N 003 54.529W,,Top of Cader Idris 3 Nml South of Dolgellau,41,W,Shrewsbury,27111 31303,CDI,CDI
Clodock,CDK,C#,T-Junction,410,51 56.517N 002 58.917W,,Minor road junction in hamlet of Clodock on the east side of the Black Mountains. D147 (Pontrilas) to East.,28,WNW,Gloucester,33260 22751,CDK,CDK
Castle Douglas SW,CDO,A,A75/B736 R=bout,170,54 55.820N 003 57.098W,,"1NMl SW of town, W of small loch",14,SW,Dumfries,27504 56126,CDO,CDO
Clattershaws Dam S,CDS,A,Bridge,510,55 02.984N 004 16.645W,,A712/River Dee bridge,22,W,Dumfries,25460 57518,CDS,CDS
Coldwaltham,CDW,B,Road/Rail Bridge,38,50 56.628N 000 32.048W,,Rail/A29 Bridge just NE of Coldwaltham Village. 3km SW of Pullborough.,17,WNW,Brighton,50308 11706,CDW,CDW
Cerne Abbas,CER,C,A352/Road crossing,256,50 48.474N 002 28.882W,,Xroads in vill. 1 NMl W of chalk giant. 8 N of Dorchester.,10,SE,Yeovil,36618 10104,CER,CER
Cowes,CES,C,Crossroads,10,50 45.464N 001 17.303W,,"W side of ferry terminal in East Cowes, Isle of Wight",10,WSW,Portsmouth,45029 09559,CES,CES
Chollerford Bridge,CFB,A,B6318 Br over R North Tyne,200,55 01.760N 002 07.629W,,"At Chesters fort 4NMl N of Hexham, 2NML S of Elwood heli site",17,W,Newcastle,39197 57054,CFB,CFB
Crieff,CFF,A,A822/River Bridge,59,56 21.983N 003 51.122W,,"Bridge over river Earn, SW of town",12,W,Perth,28569 72088,CFF,CFF
Chalford North,CFN,D,Crossroads,660,51 44.159N 002 09.460W,,"South side of Eastcombe, East of School. Between Eastcombe and Bussage villages 1nm N of Chalford.",10,SSW,Cheltenham,38921 20415,CFN,CFN
Corgarf,CGF,D,Castle centre,1165,57 09.775N 003 14.054W,,"1.3 NMl W of village nr Cock Bridge, 9 NMl NW of Ballater",36,W,Aberdeen,32545 80868,CGF,CGF
Craigellachie,CGI,B,Spey Bridge,344,57 29.467N 003 11.674W,,Old bridge by Telford just W of modern A95 bridge at Craigellachie. 2 NMl NE of Charlestown of Aberlour,14,S,Lossiemouth,32849 84517,CGI,CGI
Croglin,CGL,A,B6143 T-junction,655,54 49.057N 002 39.901W,,"Village centre, 400m N of bridge over R Croglin.  Bottom of Crossfell ridge under Thack Fell (1578ft)",10,ESE,Carlisle,35736 54718,CGL,CGL
Cragganmore,CGN,B,Old Rail Bridge,460,57 24.835N 003 23.125W,,"Over River Spey NE of Cragganmore town, 14NMl S of Elgin",27,ESE,Inverness,31688 83680,CGN,CGN
Cherington,CGT,C,T junct,302,52 01.571N 001 34.573W,,"Village centre, 3 Nml SE of Shipston-on-Stour",8,WSW,Banbury,42917 23650,CGT,CGT
Chard,CHA,C,A30/A358,243,50 52.413N 002 57.677W,,West of two T junctions near Town Centre.,14,WSW,Yeovil,33246 10867,CHA,CHA
Charlbury,CHB,C,B4437 Br over rail,433,51 52.384N 001 29.460W,,W side of village just W of River Evenlode.,11,NW,Oxford,43514 21951,CHB,CHB
Chipping Campden,CHC,C,Church Twr,167,52 03.183N 001 46.505W,,N end of village near B4035/B4081 T junction.,16,W,Banbury,41552 23943,CHC,CHC
Chesterfield,CHD,C,Crooked Spire,220,53 14.172N 001 25.460W,,"On church just E of stn, E side of town. 9 S of Sheffield.",21,SW,Doncaster,43852 37117,CHD,CHD
Chedworth,CHE,C,R/W 21/Road Crossing,827,51 48.749N 001 56.577W,,"Disused airfield, minor road crossing SW runway",7,SE,Cheltenham,40403 21265,CHE,CHE
Chichester W,CHI,A#,A27/B2146,50,50 50.946N 000 50.606W,,Bridge over A27 W of Goodwood ATZ,10,ENE,Portsmouth,48152 10615,CHI,CHI
Chirk,CHK,A,Rail Bridge/B4500,164,52 55.783N 003 03.836W,,SW side of village,15,NW,Shrewsbury,32858 33745,CHK,CHK
Charlton Mires,CHM,A,A1/B6347,289,55 28.730N 001 43.274W,,5NMl N of Alnwick near Microlight strip to W,19,SE,Berwick,41772 62059,CHM,CHM
Chipping Norton,CHN,A,A3400/A361 R'bout,751,51 57.124N 001 31.484W,,1 NMl NE of village.,10,SW,Banbury,43276 22828,CHN,CHN
Chorley West,CHO,A#,A581 bridge over M6,100,53 39.531N 002 41.471W,,"2NMl W of Chorley, 300m N of R Yarrow.  TMA to S",23,S,Lancaster,35442 41826,CHO,CHO
Chipping,CHP,D#,Hangar,600,53 53.165N 002 37.242W,118.685,"Bowland Forest GC site, 7 NMl NNE of Preston",12,SSE,Lancaster,35930 44350,CHP,CHP
Charterhall Field,CHR,B,Runway intersection,350,55 42.438N 002 22.634W,,Light aircraft strip 7 NMl NNE of Kelso,12,WSW,Berwick,37639 64605,CHR,CHR
Chelmsford S,CHS,A#!,A12/B1007,215,51 41.215N 000 27.917E,,"Bridge over A12, S of town. Under LTMA base 3500ft. CTA 2500ft to the SE.",35,NW,Canterbury,57051 20156,CHS,CHS
